"filename", "language", "TypeScript React", "CSS", "TypeScript", "XML", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\K\Desktop\gym-app\front\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\K\Desktop\gym-app\front\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\K\Desktop\gym-app\front\src\sectionSeparator\SectionSeparator.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\K\Desktop\gym-app\front\src\sectionSeparator\SectionSeparator.tsx", "TypeScript React", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\K\Desktop\gym-app\front\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\comments.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 14, 107
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\errors.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\login.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 8, 48
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\offers.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 17, 102
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\ratings.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 10, 66
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\reservation.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 26, 177
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\signup.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\subscriptions.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 11, 66
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\timetable.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 20, 134
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\trainer.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\K\Desktop\gym-app\front\src\utils\apicalls\user.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 31, 218
"c:\Users\K\Desktop\gym-app\front\src\utils\auth.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 9, 48
"Total", "-", 4709, 568, 866, 1, 6, -1179, -627, 328, 4672
